Name,Cores,TDP
Intel Xeon W-2191B ,18,140
Intel Xeon W-2195 ,18,140
Intel Xeon W-2223 ,4,120
Intel Xeon W-2225 ,4,105
Intel Xeon W-2235 ,6,130
Intel Xeon W-2245 ,8,155
Intel Xeon W-2255 ,10,165
Intel Xeon W-2265 ,12,165
Intel Xeon W-2275 ,14,165
Intel Xeon W-2295 ,18,165
Intel Xeon W-3175X ,28,255
Intel Xeon W-3223 ,8,160
Intel Xeon W-3235 ,12,180
Intel Xeon W-3245 ,16,205
Intel Xeon W-3245M ,16,205
Intel Xeon W-3265 ,24,205
Intel Xeon W-3265M ,24,205
Intel Xeon W-3275M ,28,205
Intel Xeon W-3323 ,12,220
Intel Xeon W-3335 ,16,250
Intel Xeon W-3345 ,24,250
Intel Xeon W-3365 ,32,270
Intel Xeon W-3375 ,38,270
Intel Xeon W3503 ,2,130
Intel Xeon W3505 ,2,130
Intel Xeon W3520 ,4,130
Intel Xeon W3530 ,4,130
Intel Xeon W3540 ,4,130
Intel Xeon W3550 ,4,130
Intel Xeon W3565 ,4,130
Intel Xeon W3570 ,4,130
Intel Xeon W3580 ,4,130
Intel Xeon W3670 ,6,130
Intel Xeon W3680 ,6,130
Intel Xeon W3690 ,6,130
Intel Xeon W5580 ,4,130
Intel Xeon W5580 ,4,130
Intel Xeon W5590 ,4,130
Intel Xeon W5590 ,4,130
Intel Xeon X3210 ,4,105
Intel Xeon X3220 ,4,105
Intel Xeon X3230 ,4,95
Intel Xeon X3320 ,4,95
Intel Xeon X3323 ,4,80
Intel Xeon X3330 ,4,95
Intel Xeon X3350 ,4,95
Intel Xeon X3353 ,4,80
Intel Xeon X3360 ,4,95
Intel Xeon X3363 ,4,80
Intel Xeon X3370 ,4,95
Intel Xeon X3380 ,4,95
Intel Xeon X3430 ,4,95
Intel Xeon X3440 ,4,95
Intel Xeon X3450 ,4,95
Intel Xeon X3460 ,4,95
Intel Xeon X3470 ,4,95
Intel Xeon X3480 ,4,95
Intel Xeon X5260 ,2,80
Intel Xeon X5260 ,2,80
Intel Xeon X5270 ,2,80
Intel Xeon X5272 ,2,80
Intel Xeon X5355 ,4,120
Intel Xeon X5355 ,4,120
Intel Xeon X5365 ,4,150
Intel Xeon X5365 ,4,150
Intel Xeon X5450 ,4,120
Intel Xeon X5450 ,4,120
Intel Xeon X5460 ,4,120
Intel Xeon X5460 ,4,120
Intel Xeon X5470 ,4,120
Intel Xeon X5470 ,4,120
Intel Xeon X5472 ,4,120
Intel Xeon X5472 ,4,120
Intel Xeon X5482 ,4,150
Intel Xeon X5482 ,4,150
Intel Xeon X5492 ,4,150
Intel Xeon X5492 ,4,150
Intel Xeon X5550 ,4,95
Intel Xeon X5550 ,4,95
Intel Xeon X5560 ,4,95
Intel Xeon X5560 ,4,95
Intel Xeon X5570 ,4,95
Intel Xeon X5570 ,4,95
Intel Xeon X5647 ,4,130
Intel Xeon X5647 ,4,130
Intel Xeon X5650 ,6,95
Intel Xeon X5650 ,6,95
Intel Xeon X5660 ,6,95
Intel Xeon X5660 ,6,95
Intel Xeon X5667 ,4,95
Intel Xeon X5667 ,4,95
Intel Xeon X5670 ,6,95
Intel Xeon X5670 ,6,95
Intel Xeon X5672 ,4,95
Intel Xeon X5672 ,4,95
Intel Xeon X5675 ,6,95
Intel Xeon X5675 ,6,95
Intel Xeon X5677 ,4,130
Intel Xeon X5677 ,4,130
Intel Xeon X5679 ,6,115
Intel Xeon X5679 ,6,115
Intel Xeon X5680 ,6,130
Intel Xeon X5680 ,6,130
Intel Xeon X5687 ,4,130
Intel Xeon X5687 ,4,130
Intel Xeon X5690 ,6,130
Intel Xeon X5690 ,6,130
Intel Xeon X5698 ,2,130
Intel Xeon X6550 ,4,130
Intel Xeon X7350 ,4,130
Intel Xeon X7460 ,6,130
Intel Xeon X7550 ,8,130
Intel Xeon X7560 ,8,130
Intel Xeon X7560 ,8,130
Microsoft ARM SQ1 ,8,15
Mobile AMD Athlon 64 3200+,1,81.5
Mobile AMD Athlon 64 3400+,1,81.5
Mobile AMD Athlon 64 3700+,1,81.5
Mobile AMD Athlon 64 4000+,1,62
Mobile AMD Athlon MP-M 1800+,1,35
Mobile AMD Athlon XP-M 1800+,1,45
Mobile AMD Sempron 2100+,1,8
Mobile AMD Sempron 3400+,1,25
Mobile AMD Sempron 3600+,1,25
Mobile Intel Celeron 1.80GHz,1,66.1
Mobile Intel Pentium 4 2.66GHz,1,66.1
Mobile Intel Pentium 4 2.80GHz,1,69.7
Mobile Intel Pentium 4 3.06GHz,1,81.8
Mobile Intel Pentium 4 3.20GHz,1,82
Mobile Intel Pentium III - M 1.2GHz,1,22
Snapdragon 7c ,8,9
Snapdragon 7c Gen 2 ,8,7
Snapdragon 835,8,9
Snapdragon 850 ,8,5
Snapdragon 8cx Gen 2 ,8,7
